word,frequency rank,frequent in etymologies?,ANIMALS,ART,ASTRONOMY,BODY,BUILDING,CLOTHING,COLOR,CONFLICT,CONTAINERS,DIMENSIONS,DIRECTIONS,EFFORT,ELEMENTS,EMOTION,EVENTS,EXISTENCE,FOOD,GOVERNMENT,GRAMMAR,KINSHIP,KNOWLEDGE,LAW,LIFE/HEALTH,LIGHT,LOCATIVES,LOVE,MEASUREMENT,METALS,MIND,MOVEMENT,NATURE,NUMBERS,PHYSICAL ACTIONS,PHYSICS,PLANTS,POSSESSION,RELIGION,SHAPE,SENSATION,SEX,SIN,SOCIETY,SPEECH,SUBSTANCES,TIME,TOOLS,TRADE,VALUATION,WAR,WATER,WORK
world,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATURE,,,,,,,,,,,,,,,,,,,,
end,153,yes,,,,,,,,,,,,,,,EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mind,154,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIND,,,,,,,,,,,,,,,,,,,,,,
most,155,,,,,,,,,,,DIMENSIONS,,,,,,,,,GRAMMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
until,156,,,,,,,,,,,,,,,,,,,,,,,,,,LOCATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
nothing,157,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEECH,,,,,,,,
arm,159,yes,,,,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
night,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,,,,,
voice,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEECH,,,,,,,,
left,162,,,,,,,,,,,,DIRECTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
around,163,,,,,,,,,,,,,,,,,,,,,,,,,,LOCATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
war,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAR,,
hold,165,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSSESSION,,,,,,,,,,,,,,,
dark,166,,,,,,,,,,,,,,,,,,,,,,,,,LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIND,,,,,,,,,,,,SIN,,,,,,,,,,
keep,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSSESSION,,,,,,,,,,,,,,,
close,169,,,,,,,,,,CONTAINERS,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
without,170,,,,,,,,,,,,,,,,,,,,,,,,,,LOCATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
call,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEECH,,,,,,,,
far,172,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moment,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,,,,,
yet,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,,,,,
small,175,yes,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
each,176,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
many,177,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foot,178,,,,,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
such,179,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toward,180,yes,,,,,,,,,,,,,,,,,,,,,,,,,LOCATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
course,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOVEMENT,,,,,,,,,,,,,,,,,,,,,
point,182,yes,,,,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAPE,,,,,,,,,,,,,
sit,183,yes,,,,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talk,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEECH,,,,,,,,
fall,185,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOVEMENT,,,,,,,,,,,,,,,TIME,,,,,,
enough,186,,,,,,,,,,,DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
